student_id,total_classes,attendance_percentage,student_name,department,year,section,hostel_status,attendance_status
STU0034,50,82.0,Student_0034,ECE,4,B,Day Scholar,75% and Above
STU0035,50,80.0,Student_0035,ECE,3,B,Hostel,75% and Above
STU0036,50,80.0,Student_0036,IT,3,A,Day Scholar,75% and Above
STU0037,50,88.0,Student_0037,AIML,2,A,Day Scholar,75% and Above
STU0038,50,90.0,Student_0038,EEE,4,C,Day Scholar,75% and Above
STU0039,50,90.0,Student_0039,EEE,3,D,Hostel,75% and Above
STU0040,50,76.0,Student_0040,IT,1,B,Day Scholar,75% and Above
STU0041,50,84.0,Student_0041,CIVIL,3,A,Day Scholar,75% and Above
STU0042,50,82.0,Student_0042,CIVIL,1,C,Hostel,75% and Above
STU0043,50,80.0,Student_0043,IT,2,C,Hostel,75% and Above
STU0044,50,88.0,Student_0044,CIVIL,1,B,Day Scholar,75% and Above
STU0045,50,82.0,Student_0045,ECE,3,B,Hostel,75% and Above
STU0046,50,88.0,Student_0046,EEE,3,C,Hostel,75% and Above
STU0047,50,88.0,Student_0047,IT,3,A,Hostel,75% and Above
STU0048,50,82.0,Student_0048,EEE,2,C,Hostel,75% and Above
STU0049,50,76.0,Student_0049,CSE,2,D,Day Scholar,75% and Above
STU0050,50,86.0,Student_0050,ECE,4,D,Hostel,75% and Above
STU0051,50,82.0,Student_0051,MECH,3,B,Hostel,75% and Above
STU0052,50,80.0,Student_0052,ECE,1,A,Hostel,75% and Above
STU0053,50,82.0,Student_0053,IT,2,A,Day Scholar,75% and Above
STU0054,50,94.0,Student_0054,MECH,3,D,Day Scholar,75% and Above
STU0055,50,82.0,Student_0055,CSE,3,C,Hostel,75% and Above
STU0056,50,78.0,Student_0056,IT,2,B,Hostel,75% and Above
STU0057,50,78.0,Student_0057,AIML,4,C,Day Scholar,75% and Above
STU0058,50,82.0,Student_0058,EEE,2,C,Hostel,75% and Above
STU0059,50,78.0,Student_0059,CSE,2,C,Hostel,75% and Above
STU0060,50,76.0,Student_0060,EEE,1,A,Day Scholar,75% and Above
STU0061,50,82.0,Student_0061,CIVIL,1,D,Hostel,75% and Above
STU0062,50,74.0,Student_0062,AIML,4,A,Hostel,Below 75%
STU0063,50,80.0,Student_0063,AIML,3,D,Day Scholar,75% and Above
STU0064,50,74.0,Student_0064,CSE,2,B,Day Scholar,Below 75%
STU0065,50,80.0,Student_0065,AIML,4,B,Hostel,75% and Above
STU0066,50,94.0,Student_0066,MECH,1,C,Day Scholar,75% and Above
STU0067,50,84.0,Student_0067,AIML,2,D,Hostel,75% and Above
STU0068,50,74.0,Student_0068,EEE,3,D,Hostel,Below 75%
STU0069,50,82.0,Student_0069,EEE,1,D,Hostel,75% and Above
STU0070,50,80.0,Student_0070,IT,1,C,Day Scholar,75% and Above
STU0071,50,78.0,Student_0071,EEE,1,C,Day Scholar,75% and Above
STU0072,50,92.0,Student_0072,IT,4,B,Hostel,75% and Above
STU0073,50,92.0,Student_0073,EEE,3,A,Hostel,75% and Above
STU0074,50,82.0,Student_0074,MECH,2,D,Day Scholar,75% and Above
STU0075,50,86.0,Student_0075,IT,4,D,Day Scholar,75% and Above
STU0076,50,76.0,Student_0076,ECE,4,A,Day Scholar,75% and Above
STU0077,50,82.0,Student_0077,CIVIL,4,D,Hostel,75% and Above
STU0078,50,88.0,Student_0078,CSE,1,C,Day Scholar,75% and Above
STU0079,50,90.0,Student_0079,EEE,3,C,Day Scholar,75% and Above
STU0080,50,74.0,Student_0080,AIML,4,D,Hostel,Below 75%
STU0081,50,84.0,Student_0081,EEE,2,C,Hostel,75% and Above
STU0082,50,86.0,Student_0082,AIML,3,C,Hostel,75% and Above
STU0083,50,86.0,Student_0083,CIVIL,2,D,Day Scholar,75% and Above
STU0084,50,88.0,Student_0084,CIVIL,3,B,Hostel,75% and Above
STU0085,50,82.0,Student_0085,CIVIL,2,A,Hostel,75% and Above
STU0086,50,80.0,Student_0086,AIML,1,C,Hostel,75% and Above
STU0087,50,84.0,Student_0087,EEE,4,B,Hostel,75% and Above
STU0088,50,90.0,Student_0088,CIVIL,2,C,Day Scholar,75% and Above
STU0089,50,82.0,Student_0089,MECH,3,C,Hostel,75% and Above
STU0090,50,76.0,Student_0090,IT,4,A,Day Scholar,75% and Above
STU0091,50,80.0,Student_0091,AIML,4,C,Day Scholar,75% and Above
STU0092,50,84.0,Student_0092,AIML,3,A,Day Scholar,75% and Above
STU0093,50,80.0,Student_0093,EEE,2,A,Hostel,75% and Above
STU0094,50,80.0,Student_0094,AIML,1,A,Day Scholar,75% and Above
STU0095,50,78.0,Student_0095,AIML,1,B,Hostel,75% and Above
STU0096,50,84.0,Student_0096,CIVIL,2,D,Hostel,75% and Above
STU0097,50,80.0,Student_0097,EEE,4,B,Hostel,75% and Above
STU0098,50,82.0,Student_0098,CIVIL,4,D,Day Scholar,75% and Above
STU0099,50,88.0,Student_0099,IT,4,D,Hostel,75% and Above
STU0100,50,88.0,Student_0100,IT,4,A,Hostel,75% and Above
STU0101,50,86.0,Student_0101,CIVIL,2,C,Hostel,75% and Above
STU0102,50,82.0,Student_0102,IT,4,A,Day Scholar,75% and Above
STU0103,50,88.0,Student_0103,EEE,3,C,Day Scholar,75% and Above
STU0104,50,84.0,Student_0104,CSE,4,D,Day Scholar,75% and Above
STU0105,50,74.0,Student_0105,CIVIL,1,A,Hostel,Below 75%
STU0106,50,86.0,Student_0106,MECH,4,C,Day Scholar,75% and Above
STU0107,50,80.0,Student_0107,MECH,2,B,Hostel,75% and Above
STU0108,50,74.0,Student_0108,AIML,1,C,Hostel,Below 75%
STU0109,50,80.0,Student_0109,IT,2,A,Day Scholar,75% and Above
STU0110,50,84.0,Student_0110,MECH,2,B,Hostel,75% and Above
STU0111,50,100.0,Student_0111,AIML,1,C,Day Scholar,75% and Above
STU0112,50,88.0,Student_0112,CSE,2,C,Hostel,75% and Above
STU0113,50,82.0,Student_0113,EEE,2,C,Day Scholar,75% and Above
STU0114,50,74.0,Student_0114,EEE,4,C,Hostel,Below 75%
STU0115,50,84.0,Student_0115,EEE,3,C,Hostel,75% and Above
STU0116,50,84.0,Student_0116,MECH,2,B,Hostel,75% and Above
STU0117,50,82.0,Student_0117,CSE,2,D,Hostel,75% and Above
STU0118,50,88.0,Student_0118,MECH,2,B,Hostel,75% and Above
STU0119,50,80.0,Student_0119,IT,4,B,Day Scholar,75% and Above
STU0120,50,90.0,Student_0120,MECH,3,B,Hostel,75% and Above
STU0121,50,84.0,Student_0121,CSE,1,D,Day Scholar,75% and Above
STU0122,50,76.0,Student_0122,CSE,4,A,Day Scholar,75% and Above
STU0123,50,84.0,Student_0123,IT,4,D,Day Scholar,75% and Above
STU0124,50,84.0,Student_0124,CSE,3,B,Hostel,75% and Above
STU0125,50,88.0,Student_0125,CSE,3,C,Hostel,75% and Above
STU0126,50,80.0,Student_0126,EEE,4,C,Hostel,75% and Above
STU0127,50,78.0,Student_0127,IT,1,B,Day Scholar,75% and Above
STU0128,50,80.0,Student_0128,ECE,4,C,Hostel,75% and Above
STU0129,50,86.0,Student_0129,ECE,3,B,Hostel,75% and Above
STU0130,50,64.0,Student_0130,CSE,1,C,Day Scholar,Below 75%
STU0131,50,86.0,Student_0131,ECE,3,D,Day Scholar,75% and Above
STU0132,50,82.0,Student_0132,ECE,1,A,Day Scholar,75% and Above
STU0133,50,78.0,Student_0133,CSE,2,A,Day Scholar,75% and Above
STU0134,50,82.0,Student_0134,ECE,3,D,Day Scholar,75% and Above
STU0135,50,78.0,Student_0135,MECH,3,D,Day Scholar,75% and Above
STU0136,50,86.0,Student_0136,AIML,4,B,Hostel,75% and Above
STU0137,50,80.0,Student_0137,IT,3,B,Day Scholar,75% and Above
STU0138,50,80.0,Student_0138,AIML,3,B,Hostel,75% and Above
STU0139,50,78.0,Student_0139,CSE,2,C,Hostel,75% and Above
STU0140,50,82.0,Student_0140,EEE,3,B,Hostel,75% and Above
STU0141,50,76.0,Student_0141,IT,2,D,Day Scholar,75% and Above
STU0142,50,84.0,Student_0142,CSE,2,A,Hostel,75% and Above
STU0143,50,84.0,Student_0143,EEE,2,C,Day Scholar,75% and Above
STU0144,50,74.0,Student_0144,AIML,2,B,Day Scholar,Below 75%
STU0145,50,74.0,Student_0145,CSE,1,C,Hostel,Below 75%
STU0146,50,76.0,Student_0146,IT,4,C,Day Scholar,75% and Above
STU0147,50,86.0,Student_0147,IT,1,B,Hostel,75% and Above
STU0148,50,92.0,Student_0148,CIVIL,3,C,Hostel,75% and Above
STU0149,50,88.0,Student_0149,MECH,1,A,Day Scholar,75% and Above
STU0150,50,88.0,Student_0150,ECE,1,D,Hostel,75% and Above
STU0151,50,78.0,Student_0151,EEE,3,D,Hostel,75% and Above
STU0152,50,80.0,Student_0152,CIVIL,3,A,Hostel,75% and Above
STU0153,50,84.0,Student_0153,ECE,3,C,Day Scholar,75% and Above
STU0154,50,76.0,Student_0154,ECE,1,B,Hostel,75% and Above
STU0155,50,90.0,Student_0155,CSE,1,C,Day Scholar,75% and Above
STU0156,50,70.0,Student_0156,ECE,3,A,Day Scholar,Below 75%
STU0157,50,88.0,Student_0157,MECH,4,C,Hostel,75% and Above
STU0158,50,88.0,Student_0158,IT,4,D,Hostel,75% and Above
STU0159,50,82.0,Student_0159,CIVIL,2,C,Day Scholar,75% and Above
STU0160,50,72.0,Student_0160,ECE,3,A,Day Scholar,Below 75%
STU0161,50,84.0,Student_0161,CSE,2,D,Hostel,75% and Above
STU0162,50,82.0,Student_0162,MECH,4,C,Hostel,75% and Above
STU0163,50,78.0,Student_0163,AIML,2,C,Day Scholar,75% and Above
STU0164,50,78.0,Student_0164,IT,3,D,Day Scholar,75% and Above
STU0165,50,74.0,Student_0165,IT,3,B,Day Scholar,Below 75%
STU0166,50,84.0,Student_0166,CIVIL,3,D,Day Scholar,75% and Above
STU0167,50,84.0,Student_0167,IT,1,B,Day Scholar,75% and Above
STU0168,50,80.0,Student_0168,ECE,2,A,Hostel,75% and Above
STU0169,50,84.0,Student_0169,CSE,4,A,Day Scholar,75% and Above
STU0170,50,90.0,Student_0170,IT,4,D,Day Scholar,75% and Above
STU0171,50,84.0,Student_0171,IT,4,D,Hostel,75% and Above
STU0172,50,80.0,Student_0172,AIML,1,A,Hostel,75% and Above
STU0173,50,84.0,Student_0173,AIML,1,B,Day Scholar,75% and Above
STU0174,50,80.0,Student_0174,EEE,3,A,Day Scholar,75% and Above
STU0175,50,76.0,Student_0175,MECH,4,D,Hostel,75% and Above
STU0176,50,78.0,Student_0176,ECE,1,A,Day Scholar,75% and Above
STU0177,50,84.0,Student_0177,IT,3,D,Day Scholar,75% and Above
STU0178,50,78.0,Student_0178,IT,4,D,Hostel,75% and Above
STU0179,50,90.0,Student_0179,CSE,2,A,Day Scholar,75% and Above
STU0180,50,86.0,Student_0180,EEE,3,B,Hostel,75% and Above
STU0181,50,80.0,Student_0181,MECH,1,C,Hostel,75% and Above
STU0182,50,88.0,Student_0182,EEE,1,A,Hostel,75% and Above
STU0183,50,80.0,Student_0183,CIVIL,3,C,Hostel,75% and Above
STU0184,50,80.0,Student_0184,MECH,3,A,Day Scholar,75% and Above
STU0185,50,76.0,Student_0185,IT,1,C,Hostel,75% and Above
STU0186,50,86.0,Student_0186,IT,2,B,Day Scholar,75% and Above
STU0187,50,74.0,Student_0187,MECH,4,B,Day Scholar,Below 75%
STU0188,50,86.0,Student_0188,IT,2,A,Day Scholar,75% and Above
STU0189,50,82.0,Student_0189,ECE,3,D,Day Scholar,75% and Above
STU0190,50,74.0,Student_0190,MECH,2,C,Day Scholar,Below 75%
STU0191,50,78.0,Student_0191,EEE,1,D,Hostel,75% and Above
STU0192,50,84.0,Student_0192,MECH,3,D,Hostel,75% and Above
STU0193,50,90.0,Student_0193,IT,4,D,Hostel,75% and Above
STU0194,50,78.0,Student_0194,ECE,1,B,Hostel,75% and Above
STU0195,50,84.0,Student_0195,ECE,1,A,Day Scholar,75% and Above
STU0196,50,80.0,Student_0196,CIVIL,4,A,Hostel,75% and Above
STU0197,50,80.0,Student_0197,EEE,4,B,Day Scholar,75% and Above
STU0198,50,68.0,Student_0198,AIML,2,B,Day Scholar,Below 75%
STU0199,50,86.0,Student_0199,AIML,3,A,Hostel,75% and Above
STU0200,50,92.0,Student_0200,MECH,4,D,Hostel,75% and Above
STU0201,50,80.0,Student_0201,CIVIL,4,C,Hostel,75% and Above
STU0202,50,76.0,Student_0202,CSE,3,C,Hostel,75% and Above
STU0203,50,76.0,Student_0203,MECH,4,C,Day Scholar,75% and Above
STU0204,50,90.0,Student_0204,CIVIL,4,D,Day Scholar,75% and Above
STU0205,50,72.0,Student_0205,EEE,2,A,Hostel,Below 75%
STU0206,50,82.0,Student_0206,EEE,1,B,Day Scholar,75% and Above
STU0207,50,88.0,Student_0207,EEE,1,A,Day Scholar,75% and Above
STU0208,50,84.0,Student_0208,EEE,1,D,Day Scholar,75% and Above
STU0209,50,72.0,Student_0209,EEE,1,B,Hostel,Below 75%
STU0210,50,78.0,Student_0210,CIVIL,4,D,Day Scholar,75% and Above
STU0211,50,82.0,Student_0211,CIVIL,3,C,Hostel,75% and Above
STU0212,50,76.0,Student_0212,ECE,3,C,Hostel,75% and Above
STU0213,50,84.0,Student_0213,AIML,2,D,Day Scholar,75% and Above
STU0214,50,86.0,Student_0214,IT,2,B,Day Scholar,75% and Above
STU0215,50,80.0,Student_0215,EEE,4,B,Hostel,75% and Above
STU0216,50,74.0,Student_0216,CSE,3,A,Day Scholar,Below 75%
STU0217,50,82.0,Student_0217,IT,3,C,Day Scholar,75% and Above
STU0218,50,84.0,Student_0218,CIVIL,1,A,Hostel,75% and Above
STU0219,50,78.0,Student_0219,CSE,4,A,Hostel,75% and Above
STU0220,50,80.0,Student_0220,CSE,4,D,Hostel,75% and Above
STU0221,50,76.0,Student_0221,CSE,1,D,Hostel,75% and Above
STU0222,50,72.0,Student_0222,ECE,4,A,Day Scholar,Below 75%
STU0223,50,78.0,Student_0223,CIVIL,4,C,Day Scholar,75% and Above
STU0224,50,76.0,Student_0224,CSE,2,D,Hostel,75% and Above
STU0225,50,82.0,Student_0225,EEE,3,A,Hostel,75% and Above
STU0226,50,80.0,Student_0226,MECH,4,A,Hostel,75% and Above
STU0227,50,86.0,Student_0227,CSE,2,A,Day Scholar,75% and Above
STU0228,50,80.0,Student_0228,ECE,3,A,Hostel,75% and Above
STU0229,50,80.0,Student_0229,IT,1,A,Day Scholar,75% and Above
STU0230,50,84.0,Student_0230,CIVIL,2,A,Hostel,75% and Above
STU0231,50,84.0,Student_0231,ECE,2,D,Hostel,75% and Above
STU0232,50,84.0,Student_0232,CSE,3,C,Hostel,75% and Above
STU0233,50,80.0,Student_0233,CIVIL,1,A,Day Scholar,75% and Above
STU0234,50,80.0,Student_0234,MECH,2,B,Day Scholar,75% and Above
STU0235,50,78.0,Student_0235,CSE,4,D,Day Scholar,75% and Above
STU0236,50,78.0,Student_0236,ECE,4,D,Hostel,75% and Above
STU0237,50,80.0,Student_0237,AIML,4,A,Day Scholar,75% and Above
STU0238,50,78.0,Student_0238,EEE,1,D,Day Scholar,75% and Above
STU0239,50,88.0,Student_0239,IT,2,A,Hostel,75% and Above
STU0240,50,84.0,Student_0240,ECE,4,C,Hostel,75% and Above
STU0241,50,88.0,Student_0241,CIVIL,1,C,Day Scholar,75% and Above
STU0242,50,82.0,Student_0242,CSE,4,D,Day Scholar,75% and Above
STU0243,50,72.0,Student_0243,EEE,3,D,Day Scholar,Below 75%
STU0244,50,78.0,Student_0244,CSE,2,B,Day Scholar,75% and Above
STU0245,50,82.0,Student_0245,CIVIL,2,D,Hostel,75% and Above
STU0246,50,84.0,Student_0246,CSE,1,B,Hostel,75% and Above
STU0247,50,74.0,Student_0247,AIML,1,C,Hostel,Below 75%
STU0248,50,76.0,Student_0248,EEE,2,C,Day Scholar,75% and Above
STU0249,50,84.0,Student_0249,EEE,4,A,Day Scholar,75% and Above
STU0250,50,86.0,Student_0250,CIVIL,4,C,Hostel,75% and Above
STU0251,50,80.0,Student_0251,IT,3,B,Hostel,75% and Above
STU0252,50,86.0,Student_0252,AIML,4,D,Day Scholar,75% and Above
STU0253,50,88.0,Student_0253,ECE,1,A,Day Scholar,75% and Above
STU0254,50,78.0,Student_0254,CSE,1,B,Hostel,75% and Above
STU0255,50,94.0,Student_0255,MECH,4,D,Hostel,75% and Above
STU0256,50,80.0,Student_0256,CSE,1,A,Hostel,75% and Above
STU0257,50,86.0,Student_0257,CSE,2,C,Day Scholar,75% and Above
STU0258,50,82.0,Student_0258,ECE,2,B,Day Scholar,75% and Above
STU0259,50,78.0,Student_0259,CSE,4,D,Day Scholar,75% and Above
STU0260,50,84.0,Student_0260,AIML,2,A,Day Scholar,75% and Above
STU0261,50,88.0,Student_0261,AIML,2,A,Day Scholar,75% and Above
STU0262,50,84.0,Student_0262,EEE,3,C,Day Scholar,75% and Above
STU0263,50,84.0,Student_0263,CIVIL,3,D,Hostel,75% and Above
STU0264,50,70.0,Student_0264,IT,2,C,Hostel,Below 75%
STU0265,50,72.0,Student_0265,MECH,4,C,Day Scholar,Below 75%
STU0266,50,84.0,Student_0266,CSE,3,D,Hostel,75% and Above
STU0267,50,88.0,Student_0267,CSE,1,D,Day Scholar,75% and Above
STU0268,50,90.0,Student_0268,ECE,1,D,Hostel,75% and Above
STU0269,50,78.0,Student_0269,CIVIL,1,B,Day Scholar,75% and Above
STU0270,50,70.0,Student_0270,AIML,4,D,Hostel,Below 75%
STU0271,50,88.0,Student_0271,MECH,2,A,Hostel,75% and Above
STU0272,50,82.0,Student_0272,EEE,1,C,Day Scholar,75% and Above
STU0273,50,72.0,Student_0273,AIML,4,B,Day Scholar,Below 75%
STU0274,50,84.0,Student_0274,CIVIL,3,D,Hostel,75% and Above
STU0275,50,90.0,Student_0275,IT,2,B,Hostel,75% and Above
STU0276,50,80.0,Student_0276,EEE,3,D,Day Scholar,75% and Above
STU0277,50,76.0,Student_0277,IT,4,B,Hostel,75% and Above
STU0278,50,84.0,Student_0278,ECE,1,C,Day Scholar,75% and Above
STU0279,50,70.0,Student_0279,ECE,1,C,Day Scholar,Below 75%
STU0280,50,64.0,Student_0280,CSE,4,A,Hostel,Below 75%
STU0281,50,78.0,Student_0281,IT,1,A,Day Scholar,75% and Above
STU0282,50,82.0,Student_0282,CIVIL,2,D,Hostel,75% and Above
STU0283,50,84.0,Student_0283,MECH,4,C,Hostel,75% and Above
STU0284,50,80.0,Student_0284,EEE,3,B,Day Scholar,75% and Above
STU0285,50,78.0,Student_0285,AIML,4,B,Hostel,75% and Above
STU0286,50,88.0,Student_0286,CIVIL,2,B,Day Scholar,75% and Above
STU0287,50,80.0,Student_0287,CIVIL,2,A,Day Scholar,75% and Above
STU0288,50,84.0,Student_0288,ECE,4,B,Day Scholar,75% and Above
STU0289,50,84.0,Student_0289,IT,4,A,Hostel,75% and Above
STU0290,50,78.0,Student_0290,CSE,1,A,Day Scholar,75% and Above
STU0291,50,90.0,Student_0291,CSE,2,D,Hostel,75% and Above
STU0292,50,80.0,Student_0292,EEE,4,B,Day Scholar,75% and Above
STU0293,50,88.0,Student_0293,ECE,4,B,Day Scholar,75% and Above
STU0294,50,86.0,Student_0294,CIVIL,2,C,Day Scholar,75% and Above
STU0295,50,86.0,Student_0295,MECH,4,D,Hostel,75% and Above
STU0296,50,76.0,Student_0296,ECE,1,C,Hostel,75% and Above
STU0297,50,76.0,Student_0297,EEE,2,D,Day Scholar,75% and Above
STU0298,50,82.0,Student_0298,EEE,1,B,Day Scholar,75% and Above
STU0299,50,82.0,Student_0299,ECE,1,A,Hostel,75% and Above
STU0300,50,90.0,Student_0300,EEE,1,A,Hostel,75% and Above
STU0301,50,78.0,Student_0301,ECE,1,A,Hostel,75% and Above
STU0302,50,78.0,Student_0302,AIML,2,A,Day Scholar,75% and Above
STU0303,50,80.0,Student_0303,ECE,1,A,Hostel,75% and Above
STU0304,50,80.0,Student_0304,IT,1,C,Day Scholar,75% and Above
STU0305,50,88.0,Student_0305,ECE,4,D,Hostel,75% and Above
STU0306,50,84.0,Student_0306,EEE,2,B,Day Scholar,75% and Above
STU0307,50,90.0,Student_0307,IT,2,C,Day Scholar,75% and Above
STU0308,50,88.0,Student_0308,EEE,3,D,Day Scholar,75% and Above
STU0309,50,86.0,Student_0309,CSE,2,A,Hostel,75% and Above
STU0310,50,88.0,Student_0310,CSE,2,D,Hostel,75% and Above
STU0311,50,78.0,Student_0311,IT,3,D,Hostel,75% and Above
STU0312,50,82.0,Student_0312,AIML,2,A,Day Scholar,75% and Above
STU0313,50,80.0,Student_0313,CSE,2,A,Day Scholar,75% and Above
STU0314,50,88.0,Student_0314,ECE,2,A,Hostel,75% and Above
STU0315,50,84.0,Student_0315,EEE,2,B,Day Scholar,75% and Above
STU0316,50,86.0,Student_0316,CSE,3,A,Day Scholar,75% and Above
STU0317,50,80.0,Student_0317,CSE,2,B,Day Scholar,75% and Above
STU0318,50,76.0,Student_0318,AIML,2,A,Hostel,75% and Above
STU0319,50,82.0,Student_0319,IT,3,B,Day Scholar,75% and Above
STU0320,50,92.0,Student_0320,IT,4,D,Hostel,75% and Above
STU0321,50,90.0,Student_0321,CIVIL,1,C,Hostel,75% and Above
STU0322,50,88.0,Student_0322,AIML,4,D,Hostel,75% and Above
STU0323,50,78.0,Student_0323,ECE,3,D,Hostel,75% and Above
STU0324,50,86.0,Student_0324,IT,1,A,Hostel,75% and Above
STU0325,50,76.0,Student_0325,EEE,3,B,Day Scholar,75% and Above
STU0326,50,78.0,Student_0326,AIML,3,C,Hostel,75% and Above
STU0327,50,88.0,Student_0327,CSE,2,A,Hostel,75% and Above
STU0328,50,86.0,Student_0328,EEE,1,A,Hostel,75% and Above
STU0329,50,92.0,Student_0329,EEE,2,A,Day Scholar,75% and Above
STU0330,50,92.0,Student_0330,CSE,1,D,Day Scholar,75% and Above
STU0331,50,78.0,Student_0331,AIML,3,B,Day Scholar,75% and Above
STU0332,50,82.0,Student_0332,CSE,3,B,Day Scholar,75% and Above
STU0333,50,76.0,Student_0333,CIVIL,4,C,Hostel,75% and Above
STU0334,50,86.0,Student_0334,EEE,1,B,Hostel,75% and Above
STU0335,50,86.0,Student_0335,MECH,2,B,Day Scholar,75% and Above
STU0336,50,74.0,Student_0336,MECH,4,A,Day Scholar,Below 75%
STU0337,50,72.0,Student_0337,ECE,4,A,Day Scholar,Below 75%
STU0338,50,80.0,Student_0338,IT,4,D,Day Scholar,75% and Above
STU0339,50,82.0,Student_0339,CSE,2,A,Hostel,75% and Above
STU0340,50,84.0,Student_0340,CSE,4,A,Day Scholar,75% and Above
STU0341,50,88.0,Student_0341,ECE,2,A,Day Scholar,75% and Above
STU0342,50,86.0,Student_0342,ECE,4,A,Day Scholar,75% and Above
STU0343,50,80.0,Student_0343,ECE,2,D,Day Scholar,75% and Above
STU0344,50,84.0,Student_0344,EEE,3,A,Day Scholar,75% and Above
STU0345,50,78.0,Student_0345,CIVIL,3,C,Day Scholar,75% and Above
STU0346,50,82.0,Student_0346,CSE,3,C,Day Scholar,75% and Above
STU0347,50,74.0,Student_0347,EEE,3,C,Hostel,Below 75%
STU0348,50,82.0,Student_0348,ECE,3,C,Hostel,75% and Above
STU0349,50,84.0,Student_0349,CSE,4,A,Hostel,75% and Above
STU0350,50,84.0,Student_0350,EEE,4,C,Hostel,75% and Above
STU0351,50,80.0,Student_0351,CIVIL,4,A,Hostel,75% and Above
STU0352,50,86.0,Student_0352,EEE,2,D,Hostel,75% and Above
STU0353,50,80.0,Student_0353,CIVIL,2,C,Day Scholar,75% and Above
STU0354,50,88.0,Student_0354,ECE,2,B,Day Scholar,75% and Above
STU0355,50,78.0,Student_0355,CIVIL,2,C,Hostel,75% and Above
STU0356,50,82.0,Student_0356,CSE,3,C,Day Scholar,75% and Above
STU0357,50,74.0,Student_0357,ECE,3,A,Hostel,Below 75%
STU0358,50,80.0,Student_0358,CSE,3,C,Day Scholar,75% and Above
STU0359,50,90.0,Student_0359,MECH,1,B,Day Scholar,75% and Above
STU0360,50,88.0,Student_0360,AIML,4,A,Day Scholar,75% and Above
STU0361,50,80.0,Student_0361,CIVIL,2,A,Day Scholar,75% and Above
STU0362,50,84.0,Student_0362,AIML,2,D,Day Scholar,75% and Above
STU0363,50,86.0,Student_0363,AIML,3,D,Day Scholar,75% and Above
STU0364,50,86.0,Student_0364,CIVIL,2,C,Hostel,75% and Above
STU0365,50,78.0,Student_0365,ECE,2,D,Hostel,75% and Above
STU0366,50,86.0,Student_0366,MECH,4,D,Day Scholar,75% and Above
STU0367,50,82.0,Student_0367,CSE,3,D,Hostel,75% and Above
STU0368,50,86.0,Student_0368,EEE,4,A,Day Scholar,75% and Above
STU0369,50,88.0,Student_0369,CSE,1,A,Hostel,75% and Above
STU0370,50,76.0,Student_0370,EEE,1,A,Day Scholar,75% and Above
STU0371,50,86.0,Student_0371,CSE,1,D,Hostel,75% and Above
STU0372,50,80.0,Student_0372,CIVIL,3,A,Day Scholar,75% and Above
STU0373,50,84.0,Student_0373,MECH,2,D,Hostel,75% and Above
STU0374,50,82.0,Student_0374,EEE,3,A,Day Scholar,75% and Above
STU0375,50,80.0,Student_0375,IT,3,A,Hostel,75% and Above
